Sample_ID,Fault_Type,Windmill,Resistance,Bus_Type,Split,V_A,V_B,V_C,I_A,I_B,I_C
1,Normal,WM3,N/A,PCC_132kV,Test,1.0248357076505616,0.9662410862512809,0.9568253197517533,0.3885918641766912,0.49669747362804395,0.4321505269512778
2,LLL,WM3,10,Collector_33kV,Train,0.3897202976000494,0.436038112227291,0.42321501532109457,6.768918953886699,7.104556755129895,7.012758642490024
3,Normal,WM3,N/A,PCC_132kV,Test,0.9930867849414408,0.9927740664642241,0.9984398255530458,0.436906916626221,0.44963497396244034,0.4694500536946347
4,LLL-G,WM2,50,PCC_132kV,Validation,-0.04255894028282651,0.03871911879800085,0.019128878683469127,9.041613237272712,8.87868218194653,11.976900716416008
5,Normal,WM1,N/A,Generator_690V,Train,1.0323844269050346,0.960379003950002,1.0009008436022224,0.4057939816425755,0.4827625042546338,0.4402618938954857
6,LLL,WM3,50,Generator_690V,Validation,0.39346528938674974,0.28827301936805216,0.4003434762055406,4.5390431004433385,7.138276695923739,7.629366927063377
7,LLL,WM1,50,PCC_132kV,Train,0.49723446344431493,0.3613817260806443,0.34288581654373806,5.924243217036315,6.28099609720961,6.039517463211665
8,LL-G,WM2,0.01,PCC_132kV,Train,0.21096150687960194,0.0485223904399765,1.126854255651096,5.995890549510389,5.97934446844608,0.40511227153654294
9,LL-G,WM2,0.01,PCC_132kV,Train,0.08253723700977275,0.1955333543893221,1.1817999382726052,6.417769458127035,5.920014487132559,0.613379552022167
10,L-G,WM1,0.01,PCC_132kV,Train,0.1587407028792846,1.1157976984810478,1.1017175180196348,4.837762421251788,0.5464795269443965,0.5010197682007116
11,LL-G,WM3,10,PCC_132kV,Train,0.09409941459822008,0.1369431332289686,1.1104130703769377,5.708743202045819,5.9428775194647585,0.45466730874291617
12,Normal,WM2,N/A,Collector_33kV,Validation,1.0761514928204012,0.984601923518048,1.0236315172921704,0.44520041812588623,0.57147317275177,0.5110418046946119
13,Normal,WM1,N/A,Generator_690V,Train,0.9882923312638332,0.9053192666523107,0.9316570818359586,0.47858496892888114,0.6277856655030514,0.6197178531461913
14,Normal,WM1,N/A,Generator_690V,Train,0.988293152152541,1.010664685368647,1.0296283636923664,0.5837154486331384,0.5570487330863574,0.42289578428587954
15,LLL-G,WM2,10,PCC_132kV,Train,0.044014176671299594,0.01806688518169491,-0.005385813765764667,10.866032455137562,10.990686729132252,10.899935291597266
16,L-G,WM3,0.01,Generator_690V,Train,0.006050952762308631,1.1502542698064115,1.1405250211803935,4.584260663549255,0.6231694300434006,0.32035412788299944
17,Normal,WM1,N/A,Generator_690V,Train,1.0789606407753696,1.0000602737681112,0.8647804184198612,0.46788409612942977,0.510172320847177,0.6000820497768414
18,L-G,WM2,0.01,Generator_690V,Train,0.08361024720612685,1.2263566192077564,1.1661919633163724,5.2145034240081936,0.45782309122340936,0.5509139475671541
19,LLL-G,WM1,10,PCC_132kV,Train,0.03483869317787471,0.0022482829926214806,0.02667930542346958,10.476975697013849,10.167814645214575,11.052718718016989
20,Normal,WM3,N/A,PCC_132kV,Test,1.0383717364576455,0.9591455684465905,0.9685057723818095,0.3414374293230407,0.6498011770304428,0.4218327927653112
21,LLL-G,WM3,50,Generator_690V,Test,-0.002968927662205598,0.004637970806719513,0.026412957845925483,10.870680291425401,10.226913209336495,10.207461294083899
22,Normal,WM2,N/A,Collector_33kV,Validation,0.9765262807032524,1.0329622834216203,0.9755863078774227,0.6140067846495161,0.4687163526948478,0.4152372787503116
23,LL-G,WM3,10,PCC_132kV,Validation,0.13433692811279807,0.13232395025594143,1.1582166095809614,5.950832169870453,6.9406227989605345,0.446520924616894
24,LL-G,WM1,0.01,Generator_690V,Validation,0.30794708922943315,0.11175960799257044,1.2875910890512106,6.806578750479442,6.424625043296586,0.6129938253223768
25,Normal,WM2,N/A,Collector_33kV,Validation,1.0271280021792983,1.046878506881328,1.0316663413035618,0.41629098663849606,0.6030919338366907,0.5818594618343214
26,LL-G,WM1,50,Collector_33kV,Validation,0.1369265718729534,0.19497855069425715,1.2148738367632674,6.776361302828708,6.594108378274118,0.4374859441763126
27,LLL-G,WM1,50,Collector_33kV,Train,-0.014140848887644821,0.021606692744751316,-0.01271304337741018,9.276790076391599,12.588903734063228,8.472306568437595
28,LLL-G,WM2,0.01,Generator_690V,Train,-0.013165871433312635,0.02385584234879018,0.022269798403216058,8.72805029901255,8.191576996376991,12.427932869506101
29,L-G,WM3,50,Collector_33kV,Train,0.09791699883093327,1.1012969921540887,1.1001735791690719,5.593446538797949,0.4945575699628694,0.29068918526803034
30,LLL,WM3,0.01,Collector_33kV,Train,0.30854764348716396,0.43978313522375934,0.4477523374512414,5.27360166653799,6.812300955418583,8.379556081684143
31,LL-G,WM3,50,PCC_132kV,Test,0.14391085284947155,0.18067680886416124,1.163818450184471,6.4709860662961365,6.23213199578199,0.35965015227768904
32,LLL-G,WM2,0.01,Generator_690V,Train,-0.005770594043005858,0.009519843257886625,0.00225375307092343,9.01743448865313,9.236370862152155,10.797196643109038
33,L-G,WM2,10,Generator_690V,Test,0.10079543291998155,1.0524128695494774,1.0844139783544655,5.672592327673149,0.41794147041460555,0.48195614646493007
34,L-G,WM2,10,Generator_690V,Test,0.10902480280390406,1.1727537787860185,1.1745939075289442,4.830397617395058,0.3213010990189208,0.5547769776019587
35,L-G,WM3,10,PCC_132kV,Test,0.13052199099047468,1.1444799418049205,1.2061540199670318,5.145982931228954,0.5778932180520511,0.3882242051683688
36,LL-G,WM2,0.01,Collector_33kV,Train,0.1809175964903959,0.09288089874802796,1.1982913260172268,6.101208893645209,6.036201336158124,0.574365710990905
37,L-G,WM2,50,PCC_132kV,Train,0.09822962804773246,1.1144987456592448,1.1460467490256312,5.22282175224505,0.4974266205160752,0.5961715960513221
38,LL-G,WM2,10,Collector_33kV,Validation,0.1988464451406737,0.15824607189625356,1.1719720471656694,6.258984713774621,6.204979119807106,0.4868297703106852
39,LLL-G,WM3,0.01,Generator_690V,Train,0.02392713035898186,0.021855440628059292,-0.007880993684794875,9.099579757831412,10.45133313658205,10.628064782150112
40,LL-G,WM1,50,PCC_132kV,Train,0.1584892558227378,0.18530571653402353,1.1953789710086207,6.185319149322696,6.11291008630772,0.6198058833177024
41,LLL,WM3,0.01,Generator_690V,Train,0.4967128123877813,0.36661691817696296,0.33163536850784986,7.05432808701263,7.155885132200887,8.076251059315325
42,L-G,WM1,0.01,Generator_690V,Validation,0.08159708589281597,1.1826040118677452,1.1271343546721646,5.310628047101765,0.5047579417152788,0.5506622169951747
43,LL-G,WM2,10,PCC_132kV,Train,0.20821737475201282,0.15890052629629534,1.237193435951648,5.916536603172941,6.403989104305777,0.583299067076347
44,LLL-G,WM3,50,PCC_132kV,Validation,-0.049335495216720794,0.022806701549106224,0.007896311593897013,9.943798809078304,11.462802986145743,11.048549766036624
45,L-G,WM3,0.01,Generator_690V,Train,0.07962053276701522,1.1919612572334395,1.1577837693844193,4.560932463463678,0.4013226381826473,0.538082469583791
46,LLL-G,WM2,50,Generator_690V,Train,0.040194706993697545,0.006592964733144598,-0.03174105272044036,8.5792328136265,8.847443343981716,7.943279594638224
47,LL-G,WM1,0.01,Collector_33kV,Train,0.090301440848704,0.20539201500134693,1.183445100504648,5.797815095279801,5.512429766675783,0.3251701639218366
48,LLL,WM1,10,Generator_690V,Test,0.40467300540304224,0.33943045453823417,0.314354566280079,6.995990144757234,7.819536645731983,7.748137533343499
49,L-G,WM2,50,Generator_690V,Train,0.06942420989808228,1.0395860990059953,1.152773995938269,5.910290134132483,0.48144964709638094,0.5698001587510532
50,Normal,WM1,N/A,Generator_690V,Train,0.9768291153593769,0.9196220067815513,1.0011315426338434,0.4941279572895371,0.47119372016487215,0.5921936378007617
51,LLL-G,WM2,50,Generator_690V,Train,-1.8645971825873893e-05,-0.012075898913246523,-0.010758211827372613,11.278499969959743,9.506964018550491,9.398652102106098
52,L-G,WM1,50,Generator_690V,Test,0.13937716621634327,1.1173701045334254,1.1621451270355625,5.463260092173222,0.6096593789182123,0.46407999122333443
53,LLL,WM3,50,Generator_690V,Train,0.3734911771873118,0.3659649956482778,0.38774246442358823,6.719500727279991,6.742652530296123,8.012128637745201
54,LLL,WM1,10,Collector_33kV,Test,0.34401738300703694,0.4223103637990218,0.387489018532687,6.498834889430211,7.816567158659274,5.757822635324112
55,L-G,WM1,0.01,Collector_33kV,Validation,0.06767357602617427,1.2658758115598427,1.0235877449843143,5.47632467184622,0.500082133677946,0.5151918863756809
56,Normal,WM2,N/A,Collector_33kV,Validation,0.9767135123214872,0.9618637610716892,0.9297218473071857,0.5446536506940711,0.5431022958010894,0.5851409936762655
57,L-G,WM1,50,PCC_132kV,Train,0.14233855545041224,1.1791702457899094,1.0965447854417016,5.6017300284501985,0.5029183758055413,0.5010051572234199
58,L-G,WM3,50,PCC_132kV,Test,0.10094995411299355,1.1838051819148574,1.1077384947281572,5.267067971132992,0.5207528277863422,0.4987451055383855
59,LLL-G,WM2,10,PCC_132kV,Test,0.02353589188449719,0.009942502573111058,0.008355756266304611,10.618893595131622,9.917843553609137,10.74630506151759
60,LL-G,WM2,0.01,Generator_690V,Test,0.11169557876286373,0.13549807280554088,1.210999573696255,6.5611839726505625,6.362373547308214,0.631553442338892
61,LLL-G,WM1,0.01,Generator_690V,Train,-0.02459201963599956,-0.014965841843723295,-0.005886490670649522,8.962440740024324,9.817430508551034,9.82612306129412
62,LLL-G,WM3,50,PCC_132kV,Train,0.014472833486159718,-0.007607986453419055,0.021562718603017245,9.76169505368572,10.836967648916337,9.908167765553433
63,LLL-G,WM3,0.01,Generator_690V,Train,0.007734706018845207,0.00795094776818359,-0.00796135069813063,8.93594181988139,9.939816348890416,11.537714597978095
64,LL-G,WM3,0.01,PCC_132kV,Train,0.20812434752898196,0.03728211634477627,1.2118247748824127,5.352186225551932,6.0835293343886505,0.6899749952846954
65,LLL,WM3,50,Generator_690V,Validation,0.33654491391340086,0.38732982182756426,0.40363935110792676,7.176905494912251,6.395502731914498,7.559144258707217
66,L-G,WM3,50,Collector_33kV,Train,0.07393725965719353,1.208644713931574,1.157543381425578,4.486343288474513,0.3763617871593544,0.4327968923352923
67,L-G,WM1,10,Collector_33kV,Train,0.13092036078720676,1.1508534412599862,1.1592938941811133,4.9305136342224465,0.5624920464102356,0.3757467885277294
68,L-G,WM1,50,Collector_33kV,Train,0.0636273037638441,1.189834208004581,1.1818090244342017,4.174473302469043,0.3744801885084169,0.4663141650710525
69,Normal,WM1,N/A,Generator_690V,Train,1.0120981135783018,0.9615428825106351,0.9507503437091492,0.5199610418402782,0.48864374352095485,0.3684202591781859
70,LL-G,WM3,0.01,Generator_690V,Validation,0.1505471557391737,0.15933587803841182,1.1836927176351129,6.743679138624321,5.09645648117543,0.6033603509264233
71,Normal,WM3,N/A,PCC_132kV,Test,0.9043359877671101,0.9530048449445567,1.0099340004773703,0.6094179547521476,0.4944147817347189,0.45340490219279495
72,LLL-G,WM2,0.01,Generator_690V,Train,0.011280356056036493,-0.0015845014720736602,0.002429471728111843,9.82082586698324,10.779505738074112,10.140730645191649
73,L-G,WM1,50,PCC_132kV,Test,0.13190920203641066,1.18590310219186,1.1628790874605217,5.2075362548495425,0.40603844187209737,0.4608052092805733
74,LL-G,WM2,50,Generator_690V,Train,0.08687746974956675,0.159031288470254,1.1632037005164972,5.862278596626092,6.042860843315546,0.6073860423547036
75,LL-G,WM1,0.01,Collector_33kV,Train,0.08387310341913962,0.1655593248352177,1.1737408321697769,5.342973247651159,5.346891099555408,0.4752327919092245
76,Normal,WM1,N/A,Generator_690V,Train,0.9137541083743483,1.0414737420965874,0.9960466329067722,0.5479003143392759,0.462261348253779,0.5822988592003322
77,LL-G,WM3,50,Generator_690V,Train,0.10945295973276475,0.20534895489838506,1.2349592625767538,5.727247571151694,5.732501163306975,0.45233046463654003
78,LLL,WM1,10,PCC_132kV,Test,0.38290882172696555,0.36375204706518427,0.3409339495451691,5.842144703420933,7.2673303739213635,7.592317142161301
79,Normal,WM2,N/A,Collector_33kV,Validation,0.9718856235379514,0.9903086930613598,0.9710437945182127,0.4138690420302892,0.6344854031180694,0.5041541840563895
80,LLL-G,WM2,50,PCC_132kV,Train,-0.013836016924813845,0.02631062899255148,-0.002406092599846834,8.998211176794827,8.556535512860775,12.853698333288781
81,Normal,WM1,N/A,Generator_690V,Train,0.9493584439832788,0.9867742579344695,0.9759583105244011,0.7178562173991662,0.4267073961891465,0.39263071538025357
82,LLL,WM1,0.01,Generator_690V,Train,0.41389916385178055,0.4240890017903312,0.4446540232658201,7.764844917182508,6.594579217340105,7.773917539742756
83,LL-G,WM2,0.01,Generator_690V,Train,0.1501062771078958,0.05237683733533466,1.2391208352487726,5.5627960564543635,5.9204046701225295,0.5212444695026189
84,LLL,WM3,10,Generator_690V,Train,0.43112482697366067,0.41874337878720486,0.4857368923440515,7.06009601768519,8.23533535291759,7.6775124601955085
85,LLL,WM2,0.01,Collector_33kV,Train,0.41330080912883593,0.3368250895438842,0.3989175808940607,6.244163752497857,8.090940087818606,7.355629362733423
